assists,bonus,bps,clean_sheets,code,creativity,element_type,first_name,goals_conceded,goals_scored,ict_index,id,influence,minutes,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,value_season,web_name,yellow_cards,season,specific_pos,top_six,Pace
0,0,18,0,48844,0,GK,David,4,0,2.9,1,28.8,143,47,0,0,0,48844.jpg,1,0,4,Ospina,0.2,FALSE,13,a,Arsenal,3,0,2,0.4,Ospina,0,16-17,,,
0,2,660,12,11334,0.1,GK,Petr,37,0,82,2,819.8,3097,54,1,0,0,11334.jpg,3.8,0,115,Cech,13.7,FALSE,33,a,Arsenal,3,0,134,24.8,Cech,2,16-17,,,
1,19,723,10,51507,53.9,DEF,Laurent,37,2,112.7,3,831.2,2821,61,0,0,0,51507.jpg,3.7,1,0,Koscielny,11.2,FALSE,6,s,Arsenal,3,239,121,19.8,Koscielny,4,16-17,,,
0,0,5,0,17127,0.1,DEF,Per,1,0,1.8,4,17.8,38,48,0,0,0,17127.jpg,1,0,0,Mertesacker,0.2,FALSE,4,a,Arsenal,3,0,1,0.2,Mertesacker,0,16-17,,,
0,2,296,5,158074,84.5,DEF,Gabriel Armando,18,0,50,5,295.8,1517,48,0,0,0,158074.jpg,2.4,0,0,de Abreu,0.8,FALSE,5,d,Arsenal,3,119,45,9.4,Gabriel,6,16-17,,,
5,12,569,10,98745,508.3,DEF,Héctor,34,1,133.8,6,437.6,2503,65,0,0,0,98745.jpg,3.6,0,0,Bellerín,13.9,FALSE,24,a,Arsenal,3,395,119,18.3,Bellerín,4,16-17,,,
1,3,201,6,42427,171.4,DEF,Kieran,3,0,43.1,7,142.4,702,47,0,0,0,42427.jpg,4.1,0,0,Gibbs,1.7,FALSE,3,d,Arsenal,3,117,45,9.6,Gibbs,3,16-17,,,
0,0,2,0,27334,1.4,DEF,Mathieu,0,0,0.2,8,1,15,46,0,0,0,27334.jpg,1,0,0,Debuchy,0.2,FALSE,2,a,Arsenal,3,0,1,0.2,Debuchy,0,16-17,,,
0,0,12,0,80254,2,DEF,Carl,1,0,2.1,9,19.4,82,48,0,0,0,80254.jpg,2,0,0,Jenkinson,0.1,FALSE,25,a,Arsenal,3,0,2,0.4,Jenkinson,0,16-17,,,
3,9,681,11,38411,280.3,DEF,Nacho,43,0,105.8,10,554,3153,59,0,0,0,38411.jpg,3.2,0,0,Monreal,6.4,FALSE,18,a,Arsenal,3,220,115,19.5,Monreal,5,16-17,,,
1,7,499,7,101184,107,DEF,Calum,37,2,88,11,692.2,2250,43,0,0,0,101184.jpg,3.3,0,0,Chambers,3.4,FALSE,25,a,Middlesborough,25,80,83,19.3,Chambers,4,16-17,,,
11,32,834,13,37265,1278.3,MID,Alexis,41,24,453.4,12,1357.8,3217,117,0,1,0,37265.jpg,6.9,0,0,Sánchez,29.7,FALSE,7,a,Arsenal,3,1896,264,22.6,Sánchez,6,16-17,WINGER,Yes,86
3,7,380,8,20467,280.5,MID,Theo,26,10,184.1,13,541.8,1916,72,0,1,0,20467.jpg,4.4,0,0,Walcott,4.2,FALSE,14,a,Arsenal,3,1023,122,16.9,Walcott,1,16-17,,,
11,19,729,12,37605,1649.3,MID,Mesut,30,8,322,14,834.4,2841,95,0,0,0,37605.jpg,5.1,0,0,Özil,7.5,FALSE,11,a,Arsenal,3,734,167,17.6,Özil,2,16-17,,,
2,5,159,4,19524,221.7,MID,Santiago,5,2,50.8,15,198.2,618,70,0,0,0,19524.jpg,4.8,0,0,Cazorla,1.4,FALSE,19,d,Arsenal,3,89,38,5.4,Cazorla,2,16-17,,,
4,3,240,4,41792,361.2,MID,Aaron,20,1,111.3,16,257.2,1236,76,0,0,0,41792.jpg,2.4,0,0,Ramsey,1.1,FALSE,8,a,Arsenal,3,496,56,7.4,Ramsey,3,16-17,,,
3,2,312,5,54102,544.4,MID,Jack,45,0,116.8,17,308.4,1950,58,0,0,0,54102.jpg,2.1,0,0,Wilshere,0.5,FALSE,32,d,Bournemouth,91,321,61,10.5,Wilshere,4,16-17,,,
7,3,393,4,81880,519.9,MID,Alex,22,2,137.5,18,435.4,1564,58,0,0,0,81880.jpg,2.9,0,0,Oxlade-Chamberlain,1.4,FALSE,15,a,Arsenal,3,416,83,14.3,Chamberlain,1,16-17,,,
0,0,0,0,133798,0,MID,Serge,0,0,0,19,0,0,50,0,0,0,133798.jpg,0,0,0,Gnabry,0,FALSE,27,u,Arsenal,3,0,0,0,Gnabry,0,16-17,,,
1,1,303,5,56864,314.1,MID,Francis,27,0,72.4,20,291.6,1779,42,0,0,0,56864.jpg,1.8,0,0,Coquelin,1.9,FALSE,34,a,Arsenal,3,117,52,12.4,Coquelin,5,16-17,,,
5,8,352,9,153133,467.8,MID,Alex,20,3,138.7,21,326.4,1456,53,0,0,0,153133.jpg,3.4,0,0,Iwobi,1.1,FALSE,17,a,Arsenal,3,592,89,16.8,Iwobi,1,16-17,,,
1,0,133,3,153256,108.6,MID,Mohamed,9,0,31.1,22,89,694,45,0,0,0,153256.jpg,1.9,0,0,Elneny,0.4,FALSE,35,a,Arsenal,3,116,26,5.8,Elneny,1,16-17,,,
0,0,0,0,99127,0,MID,Joel,0,0,0,23,0,0,59,0,0,0,99127.jpg,0,0,0,Campbell,0,FALSE,28,u,Arsenal,3,0,0,0,Campbell,0,16-17,,,
3,7,506,10,84450,626.2,MID,Granit,32,2,130.8,24,488.8,2483,52,0,0,0,84450.jpg,2.7,2,0,Xhaka,3.2,FALSE,29,a,Arsenal,3,193,85,16.3,Xhaka,5,16-17,,,
5,17,432,4,44346,275.1,FWD,Olivier,16,12,158.9,25,522.6,1206,81,0,0,0,44346.jpg,4,0,0,Giroud,4.7,FALSE,12,a,Arsenal,3,797,116,14.3,Giroud,2,16-17,,,
2,0,117,3,50175,89.9,FWD,Danny,11,2,55.5,26,144.8,748,73,0,0,0,50175.jpg,2.3,0,0,Welbeck,0.8,FALSE,23,a,Arsenal,3,321,37,5.1,Welbeck,0,16-17,,,
0,0,0,0,80711,0,FWD,Yaya,0,0,0,27,0,0,46,0,0,0,80711.jpg,0,0,0,Sanogo,0.1,FALSE,22,a,Arsenal,3,0,0,0,Sanogo,0,16-17,,,
0,0,0,0,154998,0,FWD,Takuma,0,0,0,28,0,0,49,0,0,0,154998.jpg,0,0,0,Asano,0,FALSE,None,u,Arsenal,3,0,0,0,Asano,0,16-17,,,
0,7,657,9,18726,10,GK,Artur,63,0,82.4,29,815.4,3150,45,0,0,2,18726.jpg,3.4,0,115,Boruc,6.2,FALSE,1,a,Bournemouth,91,0,120,26.7,Boruc,2,16-17,,,
0,1,37,1,15885,0,GK,Adam,3,0,3.5,30,34.4,180,44,0,0,0,15885.jpg,4,0,5,Federici,0.1,FALSE,23,d,Bournemouth,91,0,8,1.8,Federici,1,16-17,,,
1,7,639,10,15149,291.2,DEF,Simon,54,0,117.3,31,748.2,2938,45,0,0,0,15149.jpg,2.6,1,0,Francis,1.4,FALSE,2,a,Bournemouth,91,130,89,19.8,Francis,4,16-17,,,
0,17,777,10,56917,66.2,DEF,Steve,67,2,158.2,32,1123,3420,48,1,0,0,56917.jpg,2.9,0,0,Cook,3.2,FALSE,3,a,Bournemouth,91,391,112,23.3,Steve Cook,5,16-17,,,
3,14,692,10,41320,528.3,DEF,Charlie,53,4,152.9,33,698.2,3060,52,0,0,0,41320.jpg,3.9,0,0,Daniels,9.9,FALSE,11,a,Bournemouth,91,302,134,25.8,Daniels,1,16-17,,,
5,12,645,8,54469,509.8,DEF,Adam,61,1,132.1,34,566.6,3101,46,1,0,0,54469.jpg,2.9,0,0,Smith,7,FALSE,15,a,Bournemouth,91,242,104,22.6,Smith,6,16-17,,,
0,2,89,0,149484,18.3,DEF,Tyrone,16,0,18.9,35,125.4,506,45,2,0,0,149484.jpg,0.6,0,0,Mings,0,FALSE,26,a,Bournemouth,91,45,4,0.9,Mings,0,16-17,,,
1,8,267,3,126184,55.5,DEF,Nathan,20,3,57.5,36,373.2,834,39,0,0,0,126184.jpg,4.6,0,0,Aké,6.1,FALSE,6,a,Chelsea,8,147,55,14.1,Aké,1,16-17,,,
4,6,513,9,48615,533,MID,Harry,62,1,135.4,37,482,2956,50,0,1,0,48615.jpg,2.4,1,0,Arter,0.3,FALSE,8,a,Bournemouth,91,343,84,16.8,Arter,11,16-17,,,
3,6,224,5,20037,304.6,MID,Marc,24,2,83.3,38,238.6,1329,46,0,0,0,20037.jpg,3,0,0,Pugh,0.4,FALSE,7,a,Bournemouth,91,290,64,13.9,Pugh,1,16-17,,,
1,0,288,4,15237,223.8,MID,Andrew,38,0,57,39,256.8,1800,46,0,0,0,15237.jpg,2,1,0,Surman,0.1,FALSE,6,a,Bournemouth,91,90,44,9.6,Surman,1,16-17,,,
0,0,0,0,80498,0,MID,Eunan,0,0,0,40,0,0,44,0,0,0,80498.jpg,0,0,0,O'Kane,0.3,FALSE,32,u,Bournemouth,91,0,0,0,O'Kane,0,16-17,,,
0,0,0,0,20669,0,MID,Shaun,0,0,0,41,0,0,45,0,0,0,20669.jpg,0,0,0,MacDonald,0.1,FALSE,16,u,Bournemouth,91,0,0,0,MacDonald,0,16-17,,,
6,13,372,4,56872,406.9,MID,Junior,29,7,128,42,454.6,1467,46,0,0,0,56872.jpg,5.1,0,0,Stanislas,1.3,FALSE,19,d,Bournemouth,91,418,107,23.3,Stanislas,1,16-17,,,
