assists,bonus,bps,clean_sheets,code,creativity,element_type,first_name,goals_conceded,goals_scored,ict_index,id,influence,minutes,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,value_season,web_name,yellow_cards,season,specific_pos,top_six,Pace
11,32,834,13,37265,1278.3,MID,Alexis,41,24,453.4,12,1357.8,3217,117,0,1,0,37265.jpg,6.9,0,0,SÃ¡nchez,29.7,FALSE,7,a,Arsenal,3,1896,264,22.6,SÃ¡nchez,6,16-17,WINGER,Yes,86
3,17,553,9,78007,474.6,MID,Joshua,54,16,231.6,48,835.2,2714,62,0,1,0,78007.jpg,4.9,0,0,King,19.3,FALSE,17,a,Bournemouth,91,1007,178,28.7,King,1,16-17,STRIKER,No,90
9,33,869,17,42786,1306.8,MID,Eden,29,16,351.6,82,1044.6,2985,105,0,1,0,42786.jpg,6.2,0,0,Hazard,30.6,FALSE,10,i,Chelsea,8,1162,224,21.3,Hazard,3,16-17,WINGER,Yes,90
8,21,631,8,84583,1081.8,MID,Philippe,27,13,306.5,203,860,2228,87,0,0,0,84583.jpg,5.5,0,0,Coutinho,26,FALSE,10,a,Liverpool,14,1125,171,19.7,Coutinho,2,16-17,WINGER,Yes,82
11,17,639,11,92217,1127.3,MID,Roberto,39,11,356.9,209,869.6,3062,85,0,0,0,92217.jpg,5.1,0,0,Firmino,8.8,FALSE,11,a,Liverpool,14,1569,180,21.2,Firmino,5,16-17,STRIKER,Yes,79
21,33,825,11,61366,1702,MID,Kevin,34,6,336.6,235,872.4,2877,105,0,1,0,61366.jpg,5.5,0,0,De Bruyne,10.4,FALSE,17,a,Manchester City,43,790,199,19,De Bruyne,4,16-17,CAM,Yes,77
13,18,684,7,55422,1302.7,MID,Gylfi,70,9,328.3,368,905.4,3327,74,0,0,0,55422.jpg,4.8,0,0,Sigurdsson,10.8,FALSE,23,a,Swansea City,80,1074,181,24.5,Sigurdsson,2,16-17,CAM,No,68
20,30,798,16,80607,1679.2,MID,Christian,24,8,389.7,394,974.6,3159,89,0,0,0,80607.jpg,6.1,0,0,Eriksen,17.9,FALSE,23,a,Tottenham Hotspur,6,1244,218,24.5,Eriksen,0,16-17,CAM,Yes,76
11,17,679,17,108823,778.7,MID,Bamidele,22,18,301.7,398,969.6,3036,91,0,0,0,108823.jpg,6.1,0,0,Alli,32.3,FALSE,20,a,Tottenham Hotspur,6,1270,225,24.7,Alli,4,16-17,CAM,Yes,75
9,13,512,10,85971,642.3,MID,Heung-Min,18,14,255.6,402,753.4,2063,72,0,0,0,85971.jpg,5.1,0,0,Son,11,FALSE,7,d,Tottenham Hotspur,6,1161,174,24.2,Son,2,16-17,WINGER,Yes,86
6,24,699,12,42786,1127.3,MID,Eden,27,12,317.3,104,928,2417,105,0,0,0,42786.jpg,5.1,0,0,Hazard,6.4,FALSE,10,a,Chelsea,8,1115,173,16.5,Hazard,2,17-18,WINGER,Yes,90
13,19,682,9,103025,924,MID,Riyad,51,12,282.6,199,966,2948,87,0,0,0,103025.jpg,5.4,0,0,Mahrez,8.2,FALSE,26,a,Leicester City,13,932,195,22.4,Mahrez,2,17-18,WINGER,No,82
12,26,881,15,118748,942.5,MID,Mohamed,29,32,454.4,234,1496.2,2905,106,0,1,0,118748.jpg,8.4,0,0,Salah,56.7,FALSE,11,a,Liverpool,14,2109,303,28.6,Salah,1,17-18,WINGER,Yes,93
17,19,701,13,103955,838.2,MID,Raheem,23,18,329.7,247,969.8,2584,91,0,0,0,103955.jpg,6.9,1,0,Sterling,27.6,FALSE,7,a,Manchester City,43,1488,229,25.2,Sterling,3,17-18,WINGER,Yes,93
18,25,872,19,61366,1744.2,MID,Kevin,22,8,368.9,252,1146.6,3073,103,0,0,0,61366.jpg,5.6,0,0,De Bruyne,21.4,FALSE,17,a,Manchester City,43,797,209,20.3,De Bruyne,2,17-18,CAM,Yes,75
15,17,647,12,182156,891.3,MID,Leroy,22,10,274.4,255,842.4,2415,87,0,0,0,182156.jpg,5.6,0,0,SanÃ©,13.4,FALSE,19,a,Manchester City,43,1013,179,20.6,SanÃ©,4,17-18,WINGER,Yes,94
10,23,826,17,80607,1487,MID,Christian,33,11,358.2,387,1072.6,3218,97,0,0,0,80607.jpg,5.4,0,0,Eriksen,19.4,FALSE,23,a,Tottenham Hotspur,6,1021,199,20.5,Eriksen,0,17-18,CAM,Yes,75
13,12,565,16,108823,878.5,MID,Bamidele,28,9,258.8,388,775.2,2957,90,0,0,0,108823.jpg,4.9,0,0,Alli,13.8,FALSE,20,a,Tottenham Hotspur,6,934,175,19.4,Alli,7,17-18,CAM,Yes,76
8,16,544,14,85971,588.2,MID,Heung-Min,18,12,249.1,390,725.8,2292,83,0,0,0,85971.jpg,4.8,0,0,Son,14,FALSE,7,a,Tottenham Hotspur,6,1177,178,21.4,Son,0,17-18,WINGER,Yes,86
14,23,751,9,90105,1382.4,MID,Ryan,64,7,301.2,40,930.6,3165,64,0,0,0,90105.jpg,4.8,0,0,Fraser,23.7,FALSE,24,a,Bournemouth,91,696,181,28.3,Fraser,2,18-19,WINGER,No,88
15,35,879,12,42786,1471.2,MID,Eden,35,16,432.7,122,1306.2,2918,110,0,0,0,42786.jpg,6.4,0,0,Hazard,27.2,FALSE,10,a,Chelsea,8,1546,238,21.6,Hazard,2,18-19,WINGER,Yes,91
6,20,662,15,55422,1098.5,MID,Gylfi,41,13,314.2,172,959.8,3122,74,0,3,0,55422.jpg,4.8,0,0,Sigurdsson,8.3,FALSE,10,a,Everton,11,1084,182,24.6,Sigurdsson,3,18-19,CAM,No,59
3,24,703,19,110979,692.8,MID,Sadio,21,22,304,251,1015.8,3076,103,0,0,0,110979.jpg,6.4,0,0,ManÃ©,38.6,FALSE,10,a,Liverpool,14,1332,231,22.4,ManÃ©,2,18-19,WINGER,Yes,94
12,18,687,21,118748,973.9,MID,Mohamed,20,22,432.7,253,1186.8,3254,132,0,0,0,118748.jpg,6.8,0,0,Salah,33.9,FALSE,11,a,Liverpool,14,2168,259,19.6,Salah,1,18-19,WINGER,Yes,92
15,25,743,17,103955,937.4,MID,Raheem,19,17,357.1,270,1060,2770,117,0,0,0,103955.jpg,6.9,0,0,Sterling,24.8,FALSE,7,a,Manchester City,43,1572,234,20,Sterling,3,18-19,WINGER,Yes,93
10,19,648,8,74208,822.3,MID,Paul,43,13,316.9,302,1096.8,3007,86,0,3,0,74208.jpg,5.1,0,0,Pogba,33.7,FALSE,6,a,Manchester United,1,1246,179,20.8,Pogba,6,18-19,CM,Yes,75
10,26,661,16,118748,834.8,MID,Mohamed,26,19,405.1,191,1061.2,2879,125,0,0,0,118748.jpg,6.9,0,0,Salah,32.4,FALSE,None,a,Liverpool,14,2156,233,18.6,Salah,1,19-20,WINGER,Yes,93
10,27,689,12,110979,826.6,MID,Sadio,28,18,307.7,192,1010.2,2745,121,0,0,0,110979.jpg,6.3,0,0,ManÃ©,19.7,FALSE,None,a,Liverpool,14,1239,221,18.3,ManÃ©,3,19-20,WINGER,Yes,94
6,20,642,13,103955,751.3,MID,Raheem,31,20,350.2,214,921.6,2651,120,0,2,0,103955.jpg,6.2,0,0,Sterling,23.2,FALSE,None,a,Manchester City,43,1829,204,17,Sterling,5,19-20,WINGER,Yes,93
23,35,988,18,61366,1990.8,MID,Kevin,22,13,432.1,215,1322.2,2790,106,0,0,0,61366.jpg,7.2,0,0,De Bruyne,48.9,FALSE,None,a,Manchester City,43,1005,251,23.7,De Bruyne,3,19-20,CAM,Yes,76
14,17,668,10,103025,885.8,MID,Riyad,15,11,279.5,217,814.2,1934,86,0,0,0,103025.jpg,5.3,0,0,Mahrez,10.1,FALSE,None,a,Manchester City,43,1094,175,20.3,Mahrez,0,19-20,WINGER,Yes,84
9,14,544,14,148225,439.3,MID,Anthony,27,17,259.4,239,855.6,2625,85,0,1,0,148225.jpg,6.2,0,0,Martial,22.5,FALSE,None,a,Manchester United,1,1297,200,23.5,Martial,1,19-20,WINGER,Yes,89
